id,room_id,booking_date,hour,is_available,available_slots,room_name,business_name
1,CLV1,2025-03-01,11:00:00,false,0,"CLUEVIE","I escape"
2,DNR2,2025-03-01,11:00:00,true,4,"DONOR","I escape"
3,GMS3,2025-03-01,11:00:00,false,0,"GAME SHOW Live!","I escape"
4,LOT4,2025-03-01,11:00:00,true,2,"LEGEND OF THE TOMB","I escape"
5,CLV1,2025-03-01,11:15:00,true,1,"CLUEVIE","I escape"
6,DNR2,2025-03-01,11:15:00,false,0,"DONOR","I escape"
7,GMS3,2025-03-01,11:15:00,true,5,"GAME SHOW Live!","I escape"
8,LOT4,2025-03-01,11:15:00,true,7,"LEGEND OF THE TOMB","I escape"
9,CLV1,2025-03-01,11:30:00,false,0,"CLUEVIE","I escape"
10,DNR2,2025-03-01,11:30:00,false,0,"DONOR","I escape"
11,GMS3,2025-03-01,11:30:00,true,10,"GAME SHOW Live!","I escape"
12,LOT4,2025-03-01,11:30:00,true,2,"LEGEND OF THE TOMB","I escape"
13,CLV1,2025-03-01,11:45:00,false,0,"CLUEVIE","I escape"
14,DNR2,2025-03-01,11:45:00,false,0,"DONOR","I escape"
15,GMS3,2025-03-01,11:45:00,false,0,"GAME SHOW Live!","I escape"
16,LOT4,2025-03-01,11:45:00,false,0,"LEGEND OF THE TOMB","I escape"
17,CLV1,2025-03-01,12:00:00,true,5,"CLUEVIE","I escape"
18,DNR2,2025-03-01,12:00:00,true,6,"DONOR","I escape"
19,GMS3,2025-03-01,12:00:00,true,5,"GAME SHOW Live!","I escape"
20,LOT4,2025-03-01,12:00:00,true,1,"LEGEND OF THE TOMB","I escape"
21,CLV1,2025-03-01,12:15:00,true,6,"CLUEVIE","I escape"
22,DNR2,2025-03-01,12:15:00,false,0,"DONOR","I escape"
23,GMS3,2025-03-01,12:15:00,true,5,"GAME SHOW Live!","I escape"
24,LOT4,2025-03-01,12:15:00,true,7,"LEGEND OF THE TOMB","I escape"
25,CLV1,2025-03-01,12:30:00,false,0,"CLUEVIE","I escape"
26,DNR2,2025-03-01,12:30:00,true,1,"DONOR","I escape"
27,GMS3,2025-03-01,12:30:00,true,4,"GAME SHOW Live!","I escape"
28,LOT4,2025-03-01,12:30:00,true,4,"LEGEND OF THE TOMB","I escape"
29,CLV1,2025-03-01,12:45:00,false,0,"CLUEVIE","I escape"
30,DNR2,2025-03-01,12:45:00,false,0,"DONOR","I escape"
31,GMS3,2025-03-01,12:45:00,true,6,"GAME SHOW Live!","I escape"
32,LOT4,2025-03-01,12:45:00,true,8,"LEGEND OF THE TOMB","I escape"
33,CLV1,2025-03-01,13:00:00,true,6,"CLUEVIE","I escape"
34,DNR2,2025-03-01,13:00:00,false,0,"DONOR","I escape"
35,GMS3,2025-03-01,13:00:00,false,0,"GAME SHOW Live!","I escape"
36,LOT4,2025-03-01,13:00:00,true,1,"LEGEND OF THE TOMB","I escape"
37,CLV1,2025-03-01,13:15:00,false,0,"CLUEVIE","I escape"
38,DNR2,2025-03-01,13:15:00,true,5,"DONOR","I escape"
39,GMS3,2025-03-01,13:15:00,true,1,"GAME SHOW Live!","I escape"
40,LOT4,2025-03-01,13:15:00,true,5,"LEGEND OF THE TOMB","I escape"
41,CLV1,2025-03-01,13:30:00,true,4,"CLUEVIE","I escape"
42,DNR2,2025-03-01,13:30:00,true,2,"DONOR","I escape"
43,GMS3,2025-03-01,13:30:00,true,3,"GAME SHOW Live!","I escape"
44,LOT4,2025-03-01,13:30:00,true,8,"LEGEND OF THE TOMB","I escape"
45,CLV1,2025-03-01,13:45:00,false,0,"CLUEVIE","I escape"
46,DNR2,2025-03-01,13:45:00,true,4,"DONOR","I escape"
47,GMS3,2025-03-01,13:45:00,true,5,"GAME SHOW Live!","I escape"
48,LOT4,2025-03-01,13:45:00,false,0,"LEGEND OF THE TOMB","I escape"
49,CLV1,2025-03-01,14:00:00,false,0,"CLUEVIE","I escape"
50,DNR2,2025-03-01,14:00:00,false,0,"DONOR","I escape"
51,GMS3,2025-03-01,14:00:00,false,0,"GAME SHOW Live!","I escape"
52,LOT4,2025-03-01,14:00:00,false,0,"LEGEND OF THE TOMB","I escape"
53,CLV1,2025-03-01,14:15:00,true,1,"CLUEVIE","I escape"
54,DNR2,2025-03-01,14:15:00,false,0,"DONOR","I escape"
55,GMS3,2025-03-01,14:15:00,false,0,"GAME SHOW Live!","I escape"
56,LOT4,2025-03-01,14:15:00,true,8,"LEGEND OF THE TOMB","I escape"
57,CLV1,2025-03-01,14:30:00,false,0,"CLUEVIE","I escape"
58,DNR2,2025-03-01,14:30:00,false,0,"DONOR","I escape"
59,GMS3,2025-03-01,14:30:00,true,4,"GAME SHOW Live!","I escape"
60,LOT4,2025-03-01,14:30:00,false,0,"LEGEND OF THE TOMB","I escape"
61,CLV1,2025-03-01,14:45:00,true,7,"CLUEVIE","I escape"
62,DNR2,2025-03-01,14:45:00,true,4,"DONOR","I escape"
63,GMS3,2025-03-01,14:45:00,true,5,"GAME SHOW Live!","I escape"
64,LOT4,2025-03-01,14:45:00,true,6,"LEGEND OF THE TOMB","I escape"
65,CLV1,2025-03-01,15:00:00,true,3,"CLUEVIE","I escape"
66,DNR2,2025-03-01,15:00:00,false,0,"DONOR","I escape"
