room_id,booking_date,hour,is_available,available_slots,room_name,id,business_name,total_capacity,scrape_timestamp,booked_capacity
RT!1,2025-01-01,11:00:00,true,6,Rat Trap!,rtexcl1_20250101_110000_000001,Cracked It,6,2025-01-01T10:30:00,0
RT!1,2025-01-01,12:30:00,true,5,Rat Trap!,rtexcl1_20250101_123000_000002,Cracked It,6,2025-01-01T10:30:00,1
RT!1,2025-01-01,14:00:00,false,0,Rat Trap!,rtexcl1_20250101_140000_000003,Cracked It,6,2025-01-01T10:30:00,6
RT!1,2025-01-01,15:30:00,true,1,Rat Trap!,rtexcl1_20250101_153000_000004,Cracked It,6,2025-01-01T10:30:00,5
RT!1,2025-01-01,17:00:00,true,2,Rat Trap!,rtexcl1_20250101_170000_000005,Cracked It,6,2025-01-01T10:30:00,4
RT!1,2025-01-01,18:30:00,false,0,Rat Trap!,rtexcl1_20250101_183000_000006,Cracked It,6,2025-01-01T10:30:00,6
RT!1,2025-01-01,20:00:00,false,0,Rat Trap!,rtexcl1_20250101_200000_000007,Cracked It,6,2025-01-01T10:30:00,6
RT!1,2025-01-01,21:30:00,false,0,Rat Trap!,rtexcl1_20250101_213000_000008,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,11:15:00,false,0,Project Skylabd,ps4_20250101_111500_000009,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,13:00:00,false,0,Project Skylabd,ps4_20250101_130000_000010,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,14:45:00,false,0,Project Skylabd,ps4_20250101_144500_000011,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,16:30:00,false,0,Project Skylabd,ps4_20250101_163000_000012,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,18:15:00,false,0,Project Skylabd,ps4_20250101_181500_000013,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,20:00:00,false,0,Project Skylabd,ps4_20250101_200000_000014,Cracked It,6,2025-01-01T10:30:00,6
PS4,2025-01-01,21:45:00,false,0,Project Skylabd,ps4_20250101_214500_000015,Cracked It,6,2025-01-01T10:30:00,6
MU3,2025-01-01,11:30:00,true,6,Murder University,mu3_20250101_113000_000016,Cracked It,6,2025-01-01T10:30:00,0
MU3,2025-01-01,13:15:00,true,5,Murder University,mu3_20250101_131500_000017,Cracked It,6,2025-01-01T10:30:00,1
MU3,2025-01-01,15:00:00,true,4,Murder University,mu3_20250101_150000_000018,Cracked It,6,2025-01-01T10:30:00,2
MU3,2025-01-01,16:45:00,false,0,Murder University,mu3_20250101_164500_000019,Cracked It,6,2025-01-01T10:30:00,6
MU3,2025-01-01,18:30:00,false,0,Murder University,mu3_20250101_183000_000020,Cracked It,6,2025-01-01T10:30:00,6
MU3,2025-01-01,20:15:00,true,6,Murder University,mu3_20250101_201500_000021,Cracked It,6,2025-01-01T10:30:00,0
MU3,2025-01-01,22:00:00,false,0,Murder University,mu3_20250101_220000_000022,Cracked It,6,2025-01-01T10:30:00,6
NBNW2,2025-01-01,12:00:00,false,0,"New Blood, New World",nbnw2_20250101_120000_000023,Cracked It,6,2025-01-01T10:30:00,6
NBNW2,2025-01-01,13:45:00,true,2,"New Blood, New World",nbnw2_20250101_134500_000024,Cracked It,6,2025-01-01T10:30:00,4
NBNW2,2025-01-01,15:30:00,false,0,"New Blood, New World",nbnw2_20250101_153000_000025,Cracked It,6,2025-01-01T10:30:00,6
NBNW2,2025-01-01,17:15:00,false,0,"New Blood, New World",nbnw2_20250101_171500_000026,Cracked It,6,2025-01-01T10:30:00,6
NBNW2,2025-01-01,19:00:00,false,0,"New Blood, New World",nbnw2_20250101_190000_000027,Cracked It,6,2025-01-01T10:30:00,6
NBNW2,2025-01-01,20:45:00,false,0,"New Blood, New World",nbnw2_20250101_204500_000028,Cracked It,6,2025-01-01T10:30:00,6
K!1,2025-01-01,11:00:00,true,7,Kidnapped!,kexcl1_20250101_110000_000029,Green Light Escape,8,2025-01-01T10:30:00,1
K!1,2025-01-01,12:45:00,true,3,Kidnapped!,kexcl1_20250101_124500_000030,Green Light Escape,8,2025-01-01T10:30:00,5
K!1,2025-01-01,14:30:00,false,0,Kidnapped!,kexcl1_20250101_143000_000031,Green Light Escape,8,2025-01-01T10:30:00,8
K!1,2025-01-01,16:15:00,true,8,Kidnapped!,kexcl1_20250101_161500_000032,Green Light Escape,8,2025-01-01T10:30:00,0
K!1,2025-01-01,18:00:00,false,0,Kidnapped!,kexcl1_20250101_180000_000033,Green Light Escape,8,2025-01-01T10:30:00,8
K!1,2025-01-01,19:45:00,true,7,Kidnapped!,kexcl1_20250101_194500_000034,Green Light Escape,8,2025-01-01T10:30:00,1
K!1,2025-01-01,21:30:00,true,7,Kidnapped!,kexcl1_20250101_213000_000035,Green Light Escape,8,2025-01-01T10:30:00,1
CITW2,2025-01-01,11:30:00,false,0,Cabin in the Woods,citw2_20250101_113000_000036,Green Light Escape,10,2025-01-01T10:30:00,10
CITW2,2025-01-01,13:15:00,false,0,Cabin in the Woods,citw2_20250101_131500_000037,Green Light Escape,10,2025-01-01T10:30:00,10
CITW2,2025-01-01,15:00:00,true,8,Cabin in the Woods,citw2_20250101_150000_000038,Green Light Escape,10,2025-01-01T10:30:00,2
CITW2,2025-01-01,16:45:00,false,0,Cabin in the Woods,citw2_20250101_164500_000039,Green Light Escape,10,2025-01-01T10:30:00,10
CITW2,2025-01-01,18:30:00,false,0,Cabin in the Woods,citw2_20250101_183000_000040,Green Light Escape,10,2025-01-01T10:30:00,10
CITW2,2025-01-01,20:15:00,false,0,Cabin in the Woods,citw2_20250101_201500_000041,Green Light Escape,10,2025-01-01T10:30:00,10
TA3,2025-01-01,12:00:00,true,7,The Attic,ta3_20250101_120000_000042,Green Light Escape,8,2025-01-01T10:30:00,1
TA3,2025-01-01,13:45:00,true,6,The Attic,ta3_20250101_134500_000043,Green Light Escape,8,2025-01-01T10:30:00,2
TA3,2025-01-01,15:30:00,false,0,The Attic,ta3_20250101_153000_000044,Green Light Escape,8,2025-01-01T10:30:00,8
TA3,2025-01-01,17:15:00,false,0,The Attic,ta3_20250101_171500_000045,Green Light Escape,8,2025-01-01T10:30:00,8
TA3,2025-01-01,19:00:00,false,0,The Attic,ta3_20250101_190000_000046,Green Light Escape,8,2025-01-01T10:30:00,8
TA3,2025-01-01,20:45:00,false,0,The Attic,ta3_20250101_204500_000047,Green Light Escape,8,2025-01-01T10:30:00,8
JL4,2025-01-01,11:45:00,true,2,Jurassic Labs,jl4_20250101_114500_000048,Green Light Escape,10,2025-01-01T10:30:00,8
JL4,2025-01-01,13:30:00,false,0,Jurassic Labs,jl4_20250101_133000_000049,Green Light Escape,10,2025-01-01T10:30:00,10
JL4,2025-01-01,15:15:00,false,0,Jurassic Labs,jl4_20250101_151500_000050,Green Light Escape,10,2025-01-01T10:30:00,10
JL4,2025-01-01,17:00:00,true,10,Jurassic Labs,jl4_20250101_170000_000051,Green Light Escape,10,2025-01-01T10:30:00,0
JL4,2025-01-01,18:45:00,false,0,Jurassic Labs,jl4_20250101_184500_000052,Green Light Escape,10,2025-01-01T10:30:00,10
JL4,2025-01-01,20:30:00,false,0,Jurassic Labs,jl4_20250101_203000_000053,Green Light Escape,10,2025-01-01T10:30:00,10
AE5,2025-01-01,12:15:00,false,0,Alien Escape,ae5_20250101_121500_000054,Green Light Escape,10,2025-01-01T10:30:00,10
AE5,2025-01-01,14:00:00,false,0,Alien Escape,ae5_20250101_140000_000055,Green Light Escape,10,2025-01-01T10:30:00,10
AE5,2025-01-01,15:45:00,false,0,Alien Escape,ae5_20250101_154500_000056,Green Light Escape,10,2025-01-01T10:30:00,10
AE5,2025-01-01,17:30:00,true,5,Alien Escape,ae5_20250101_173000_000057,Green Light Escape,10,2025-01-01T10:30:00,5
AE5,2025-01-01,19:15:00,false,0,Alien Escape,ae5_20250101_191500_000058,Green Light Escape,10,2025-01-01T10:30:00,10
AE5,2025-01-01,21:00:00,false,0,Alien Escape,ae5_20250101_210000_000059,Green Light Escape,10,2025-01-01T10:30:00,10
BH6,2025-01-01,11:30:00,true,3,Brewery Heist,bh6_20250101_113000_000060,Green Light Escape,10,2025-01-01T10:30:00,7
BH6,2025-01-01,13:15:00,false,0,Brewery Heist,bh6_20250101_131500_000061,Green Light Escape,10,2025-01-01T10:30:00,10
BH6,2025-01-01,15:00:00,false,0,Brewery Heist,bh6_20250101_150000_000062,Green Light Escape,10,2025-01-01T10:30:00,10
BH6,2025-01-01,16:45:00,true,2,Brewery Heist,bh6_20250101_164500_000063,Green Light Escape,10,2025-01-01T10:30:00,8
BH6,2025-01-01,18:30:00,false,0,Brewery Heist,bh6_20250101_183000_000064,Green Light Escape,10,2025-01-01T10:30:00,10
BH6,2025-01-01,20:15:00,false,0,Brewery Heist,bh6_20250101_201500_000065,Green Light Escape,10,2025-01-01T10:30:00,10
BH6,2025-01-01,22:00:00,true,4,Brewery Heist,bh6_20250101_220000_000066,Green Light Escape,10,2025-01-01T10:30:00,6
LOT4,2025-01-01,11:00:00,false,0,LEGEND OF THE TOMB,lot4_20250101_110000_000067,iEscape Rooms,8,2025-01-01T10:30:00,8
LOT4,2025-01-01,12:45:00,true,6,LEGEND OF THE TOMB,lot4_20250101_124500_000068,iEscape Rooms,8,2025-01-01T10:30:00,2
LOT4,2025-01-01,14:30:00,false,0,LEGEND OF THE TOMB,lot4_20250101_143000_000069,iEscape Rooms,8,2025-01-01T10:30:00,8
LOT4,2025-01-01,16:15:00,false,0,LEGEND OF THE TOMB,lot4_20250101_161500_000070,iEscape Rooms,8,2025-01-01T10:30:00,8
LOT4,2025-01-01,18:00:00,false,0,LEGEND OF THE TOMB,lot4_20250101_180000_000071,iEscape Rooms,8,2025-01-01T10:30:00,8
LOT4,2025-01-01,19:45:00,false,0,LEGEND OF THE TOMB,lot4_20250101_194500_000072,iEscape Rooms,8,2025-01-01T10:30:00,8
